Hora,DiaDaSemana,Temperatura,Chuva,EventoNaRegiao,EhFeriado,Ocupacao
12,6,22,0,0,0,81
13,6,22,0,0,0,86
14,6,20,0,0,0,83
15,6,22,0,0,0,82
16,6,18,0,0,0,84
17,6,22,0,0,0,81
18,6,21,0,0,0,41
19,6,15,1,0,0,55
20,6,19,0,0,0,51
21,6,17,0,0,0,30
22,6,21,0,0,0,34
23,6,25,0,0,0,58
0,0,15,0,0,0,7
1,0,22,0,0,0,10
2,0,26,0,0,0,13
3,0,18,1,0,0,27
4,0,25,0,0,0,15
5,0,28,0,0,0,15
6,0,19,0,0,0,21
7,0,18,0,0,0,24
8,0,20,1,0,0,91
9,0,18,1,0,0,100
10,0,26,1,0,0,99
11,0,17,0,0,0,86
12,0,16,0,0,0,93
13,0,24,0,0,0,87
14,0,13,1,0,0,94
15,0,27,0,0,0,83
16,0,27,0,0,0,82
17,0,29,0,0,0,79
18,0,21,0,0,0,43
19,0,26,0,0,0,39
20,0,15,0,0,0,30
21,0,30,0,0,0,30
22,0,16,0,0,0,47
23,0,17,0,0,0,55
0,1,20,0,0,0,11
1,1,16,0,0,0,14
2,1,18,0,0,0,11
3,1,16,0,0,0,10
4,1,28,0,0,0,14
5,1,24,0,0,0,5
6,1,28,0,0,0,29
7,1,23,1,0,0,34
8,1,25,0,0,0,94
9,1,12,1,0,0,100
10,1,26,0,0,0,70
11,1,12,1,0,0,85
12,1,17,0,0,0,77
13,1,23,0,0,0,87
14,1,15,0,0,0,74
15,1,24,0,0,0,79
16,1,23,0,0,0,82
17,1,22,0,0,0,78
18,1,27,0,0,0,39
19,1,22,0,0,0,43
20,1,20,0,0,0,42
21,1,24,0,0,0,51
22,1,20,0,0,0,38
23,1,30,0,0,0,36
0,2,16,0,0,0,9
1,2,29,0,0,0,8
2,2,19,0,0,0,9
3,2,22,0,0,0,10
4,2,29,0,0,0,8
5,2,17,0,0,0,13
6,2,30,0,0,0,32
7,2,14,1,0,0,35
8,2,22,1,0,0,90
9,2,20,0,0,0,79
10,2,20,0,0,0,86
11,2,29,0,0,0,84
12,2,22,0,0,0,84
13,2,23,0,0,0,92
14,2,24,0,0,0,70
15,2,25,0,0,0,81
16,2,14,1,0,0,94
17,2,14,1,0,0,100
18,2,16,0,0,0,50
19,2,22,0,0,0,52
20,2,29,0,0,0,32
21,2,12,1,0,0,60
22,2,20,0,0,0,57
23,2,16,0,0,0,38
0,3,14,1,0,0,26
1,3,24,0,0,0,14
2,3,14,1,0,0,31
3,3,25,0,0,0,7
4,3,16,1,0,0,27
5,3,25,0,0,0,11
6,3,22,1,0,0,54
7,3,15,1,0,0,58
8,3,15,0,0,0,74
9,3,23,0,0,0,84
10,3,19,0,0,0,88
11,3,22,0,0,0,70
12,3,27,1,0,0,98
13,3,22,0,0,0,87
14,3,17,1,0,0,100
15,3,26,1,0,0,100
16,3,22,0,0,0,92
17,3,23,0,0,0,85
18,3,25,0,0,0,38
19,3,21,1,0,0,75
20,3,18,1,0,0,69
21,3,17,0,0,0,42
22,3,25,1,0,0,68
23,3,28,0,0,0,49
0,4,15,0,0,0,14
1,4,23,0,0,0,12
2,4,28,0,0,0,8
3,4,17,0,0,0,9
4,4,16,0,0,0,7
5,4,14,1,0,0,20
6,4,26,0,0,0,28
7,4,27,0,0,0,36
8,4,22,0,0,0,94
9,4,18,0,0,0,77
10,4,23,0,0,0,82
11,4,28,0,0,0,93
12,4,25,0,0,0,82
13,4,26,0,0,0,94
14,4,23,0,0,0,89
15,4,17,0,0,0,73
16,4,16,0,0,0,80
17,4,18,0,0,0,73
18,4,27,0,0,0,58
19,4,13,1,0,0,71
20,4,20,0,0,0,35
21,4,22,1,0,0,66
22,4,26,0,0,0,60
23,4,25,0,0,0,32
0,5,30,0,0,0,11
1,5,18,0,0,0,5
2,5,22,0,0,0,10
3,5,20,0,0,0,13
4,5,30,0,0,0,10
5,5,21,0,0,0,9
6,5,15,0,0,0,40
7,5,20,0,0,0,40
8,5,26,0,0,0,71
9,5,20,0,0,0,78
10,5,26,0,0,0,91
11,5,21,0,0,0,95
12,5,19,0,0,0,94
13,5,18,0,0,0,70
14,5,26,0,0,0,89
15,5,25,0,0,0,93
